1	 8.3	 8.6	 0.0
2	 1.5	 9.3	 3.5
3	 8.6	 9.2	 0.0
4	 2.1	 6.2	 2.7
5	 9.0	 5.9	 0.0
6	 2.6	 4.0	 2.6
7	 7.2	 3.6	 1.1
8	 6.8	 6.7	 2.9
9	 8.2	 3.0	 6.2
10	 2.3	 6.7	 3.5
11	 2.9	 0.2	 2.2
12	 5.8	 6.9	 6.7
13	 9.3	 5.6	 0.0
14	 4.2	 2.9	 7.3
15	 2.1	 1.9	 8.4
16	 3.7	 9.8	 2.4
17	 1.5	 7.0	 1.3
18	 2.6	 9.1	 8.0
19	 5.6	 7.3	 6.2
20	 7.0	 9.6	 0.0
21	 0.5	 2.5	 8.4
22	 2.7	 3.6	 0.5
23	 4.6	 2.9	 1.3
24	 5.7	 2.4	 9.5
25	 8.2	 4.5	 1.4
26	 6.7	 3.4	 6.4
27	 4.3	 5.0	 8.7
28	 0.8	 7.6	 7.8
29	 8.8	 8.4	 0.0
30	 5.1	 5.4	 9.9
31	 3.2	 6.0	 7.6
32	 6.8	 3.9	 1.2
33	 2.6	 8.6	 9.4
34	 3.9	 9.5	 7.0
35	 3.4	 7.8	 6.7
36	 0.1	 9.7	 0.2
37	 1.7	 9.2	 5.2
38	 5.6	 0.1	 8.0
39	 8.6	 4.1	 6.5
40	 8.9	 4.4	 1.9
41	 4.0	 2.9	 3.1
42	 1.7	 9.7	 7.1
43	 8.1	 7.5	 0.0
44	 2.7	 6.7	 5.6
45	 9.7	 5.3	 0.0
46	 6.5	 0.6	 8.3
47	 1.9	 2.4	 2.8
48	 7.1	 3.2	 2.9
49	 0.3	 1.9	 7.0
50	 6.8	 0.8	 1.5
51	 4.0	 4.9	 9.6
52	 2.3	 1.8	 4.5
53	 4.6	 5.1	 2.1
54	 5.5	 7.9	 8.8
55	 6.4	 2.8	 4.1
56	 5.0	 9.3	 0.0
57	 3.4	 6.4	 2.4
58	 1.4	 8.7	 5.6
59	 4.3	 9.1	 2.7
60	 6.5	 5.9	 3.6
61	 3.2	 5.1	 3.7
62	 2.8	 7.5	 0.7
63	 7.4	 2.1	 5.8
64	 9.5	 2.9	 3.7
65	 3.5	 9.3	 1.8
66	 2.8	 4.3	 1.1
67	 2.8	 2.9	 7.6
68	 0.4	 4.3	 6.3
69	 1.3	 3.8	 0.6
70	 4.0	 0.4	 1.8
71	 2.8	 8.8	 6.9
72	 1.7	 1.7	 9.6
73	 2.4	 4.3	 7.0
74	 8.3	 9.0	 0.0
75	 7.2	 2.5	 4.4
76	 9.0	 0.5	 3.9
77	 5.4	 8.6	 0.0
78	 8.2	 4.2	 6.4
79	 9.7	 0.7	 5.5
80	 0.4	 4.8	 1.1
81	 2.2	 2.8	 9.9
82	 4.3	 4.6	 6.8
83	 4.0	 2.2	 1.1
84	 1.0	 0.5	 0.1
85	 6.1	 3.0	 7.8
86	 0.5	 2.0	 3.6
87	 4.4	 2.6	 2.2
88	 6.5	 0.8	 1.6
89	 8.2	 5.8	 0.0
90	 3.7	 6.2	 2.4
91	 0.0	 3.6	 5.2
92	 9.9	 7.9	 0.0
93	 6.8	 7.1	 7.3
94	 3.1	 8.1	 3.0
95	 3.3	 9.4	 6.0
96	 6.3	 9.9	 0.0
97	 9.9	 9.6	 0.0
98	 7.3	 1.3	 6.8
99	 9.0	 9.5	 0.0
100	 6.6	 8.4	 0.0
